notebook_id	class	license	kind	why_real
nb01	leakage-fit-before-split	NONE	flagged-TP	imputer.fit_transform is called on X_dev (the entire dev dataset) before train_test_split is ever in
nb01	leakage-fit-before-split	NONE	flagged-TP	scaler.fit_transform runs on X_dev_imputed, which covers the whole dev population, prior to the trai
nb01	leakage-fit-before-split	NONE	flagged-TP	select_k_best.fit_transform(X_dev_scaled, y_dev) uses the FULL y_dev label vector (including what be
nb02	leakage-fit-before-split	NONE	miss	StandardScaler is fit on the full train_data_munged[features] and transform is applied to produce tr
nb03	leakage-fit-before-split	NONE	flagged-TP	data['Age'].fillna(data['Age'].mean()) and data['Embarked'].fillna(data['Embarked'].mode()[0]) compu
nb04	leakage-fit-before-split	NONE	flagged-TP	X[col].mode() is computed on the full X (all rows, pre-split) for used_chip/used_pin_number/online_o
nb05	leakage-fit-before-split	mit	flagged-TP	Same leak mechanism: mms.fit_transform on the full df4['estimated_salary'] column before the split a
nb05	leakage-fit-before-split	mit	flagged-TP	Same mechanism as the credit_score leak: mms.fit_transform is called on the full df4['balance'] colu
nb05	leakage-fit-before-split	mit	flagged-TP	Same rs.fit_transform full-data leak applied to balance/tenure, fit before the split at cell 117, fe
nb05	leakage-fit-before-split	mit	flagged-TP	Same rs.fit_transform full-data leak applied to salary/tenure, fit on all of df4 (including future t
nb05	leakage-fit-before-split	mit	flagged-TP	Same rs.fit_transform full-data leak applied to score/tenure, fit before the split at cell 117, feed
nb05	leakage-fit-before-split	mit	flagged-TP	Same rs.fit_transform full-data leak applied to the engineered salary/balance ratio column, fit befo
nb05	leakage-fit-before-split	mit	flagged-TP	mms (MinMaxScaler) is fit_transform'd on df4 which at this point contains all rows (both future trai
nb05	leakage-fit-before-split	mit	flagged-TP	rs (RobustScaler) is fit_transform'd on the full df4['age'] column before train_test_split (cell 117
nb06	leakage-fit-before-split	mit	flagged-TP	Exact match to leakage-fit-before-split: the leaking transformer is sklearn MinMaxScaler; it is fit_
nb07	leakage-fit-before-split	NONE	miss	train.groupby('Title')['Age'].transform('median') (and the analogous Pclass-median fills for Fare an
nb08	leakage-fit-before-split	mit	flagged-TP	StandardScaler is fit_transform'd on the full X (all 284,807 rows, before Class is dropped only) in 
nb09	leakage-fit-before-split	NONE	flagged-TP	The transformer (StandardScaler) is fitted on the entire dataset column before the split, and the re
nb10	leakage-fit-before-split	mit	miss	Mean imputation statistic df.LotFrontage.mean() and df.GarageYrBlt.mean() are computed over the full
nb11	leakage-fit-before-split	mit	flagged-TP	The ColumnTransformer contains real statistical transformers (median/mode imputers, StandardScaler) 
nb12	leakage-temporal-shuffle	NONE	miss	X_train columns are all time-ordered rolling/EMA/lag technical indicators (EMA_9, SMA_50/100/200 fro
nb13	leakage-temporal-shuffle	NONE	flagged-TP	df is time-ordered rainfall data (has a 'date' column, per-location groups). A lag feature rainfall_
nb14	leakage-fit-before-split	NONE	flagged-TP	Identical duplicate of the pipeline in cell gjgHpQbOHJo1: StandardScaler fit_transform on full X pri
nb14	leakage-fit-before-split	NONE	flagged-TP	StandardScaler is a genuine transformer (not a model), fit_transform is called on the full X (includ
nb14	leakage-temporal-shuffle	NONE	flagged-TP	Data is time-ordered (df['Date'] parsed to datetime) and three lag features (Demand_lag1/7/30, built
nb14	leakage-temporal-shuffle	NONE	flagged-TP	Same construction as the first cell: Demand_lag1/7/30 shift-based features are part of X, split via 
nb15	leakage-temporal-shuffle	NONE	miss	feature_engineering builds time-ordered lag features (demand_lag_1/2/3 via .shift()), rolling_mean (
nb16	leakage-fit-before-split	NONE	flagged-TP	Cell 11 builds a ColumnTransformer wrapping OneHotEncoder over the 'Profession' column and calls one
nb17	leakage-fit-before-split	MIT	miss	TfidfVectorizer (cell 8) and TruncatedSVD(n_components=100) (cell 10) are fit_transform'd on the ent
nb18	leakage-fit-before-split	NONE	miss	standScaler = StandardScaler().fit_transform(dataset[columns_to_scale]) is fit on the ENTIRE dataset
nb19	leakage-fit-before-split	mit	miss	The one-hot encoder vocabulary is fitted on data including the test set: column_keys = pd.get_dummie
nb20	leakage-fit-before-split	mit	flagged-TP	StandardScaler().fit_transform(X) is called on the full feature matrix in cell 22, one cell before X
nb20	leakage-fit-before-split	mit	flagged-TP	X.mean() is computed over the entire feature matrix (cell 18), which at that point still contains th
